1,2.2378
2,2.0837
3,1.8391
4,1.6193
5,1.4407
6,1.2923
7,1.1712
8,1.0745
9,0.9974
10,0.9357
11,0.8859
12,0.8453
13,0.8118
14,0.7838
15,0.7600
16,0.7393
17,0.7213
18,0.7052
19,0.6908
20,0.6777
21,0.6658
22,0.6548
23,0.6446
24,0.6351
25,0.6262
26,0.6179
27,0.6101
28,0.6026
29,0.5956
30,0.5889
31,0.5825
32,0.5764
33,0.5706
34,0.5650
35,0.5596
36,0.5545
37,0.5495
38,0.5447
39,0.5401
40,0.5356
41,0.5313
42,0.5271
43,0.5230
44,0.5191
45,0.5152
46,0.5115
47,0.5079
48,0.5043
49,0.5009
50,0.4975
51,0.4942
52,0.4910
53,0.4879
54,0.4848
55,0.4818
56,0.4788
57,0.4759
58,0.4731
59,0.4703
60,0.4675
61,0.4648
62,0.4621
63,0.4595
64,0.4570
65,0.4544
66,0.4519
67,0.4495
68,0.4470
69,0.4446
70,0.4423
71,0.4399
72,0.4376
73,0.4353
74,0.4331
75,0.4309
76,0.4287
77,0.4265
78,0.4243
79,0.4222
80,0.4201
81,0.4180
82,0.4159
83,0.4139
84,0.4118
85,0.4098
86,0.4078
87,0.4059
88,0.4039
89,0.4020
90,0.4000
91,0.3981
92,0.3962
93,0.3943
94,0.3925
95,0.3906
96,0.3888
97,0.3869
98,0.3851
99,0.3833
100,0.3815
