1,0.4472
2,0.3406
3,0.2731
4,0.2215
5,0.1875
6,0.1625
7,0.1431
8,0.1265
9,0.1131
10,0.1031
11,0.0942
12,0.0865
13,0.0799
14,0.0738
15,0.0687
16,0.0645
17,0.0611
18,0.0581
19,0.0555
20,0.0533
21,0.0512
22,0.0494
23,0.0478
24,0.0462
25,0.0448
26,0.0436
27,0.0424
28,0.0413
29,0.0404
30,0.0395
31,0.0387
32,0.0380
33,0.0373
34,0.0367
35,0.0361
36,0.0355
37,0.0349
38,0.0344
39,0.0339
40,0.0335
41,0.0330
42,0.0327
43,0.0323
44,0.0320
45,0.0317
46,0.0314
47,0.0312
48,0.0309
49,0.0307
50,0.0305
51,0.0303
52,0.0302
53,0.0301
54,0.0300
55,0.0299
56,0.0298
57,0.0297
58,0.0298
59,0.0295
60,0.0295
61,0.0292
62,0.0296
63,0.0289
64,0.0294
65,0.0286
66,0.0297
67,0.0284
68,0.0294
69,0.0283
70,0.0292
71,0.0285
72,0.0287
73,0.0286
74,0.0283
75,0.0282
76,0.0280
77,0.0279
78,0.0277
79,0.0275
80,0.0273
81,0.0272
82,0.0270
83,0.0269
84,0.0268
85,0.0266
86,0.0265
87,0.0263
88,0.0262
89,0.0261
90,0.0260
91,0.0258
92,0.0257
93,0.0256
94,0.0255
95,0.0254
96,0.0253
97,0.0252
98,0.0251
99,0.0250
100,0.0248
